Source,Folio,Seq,Incipit,Text,Feast,Occasion,Genre,Position,"Cantus ID",Mode,Diff,"Diff db"
"P-BRs Ms. 034",364,001,"Et si coram hominibus tormenta passi","Et si coram hominibus tormenta passi sunt deus tentavit eos tamquam aurum in fornace probavit eos et quasi holocausta accepit eos","Comm. plurimorum Martyrum",MI,Cm,,g01318,1,,
"P-BRs Ms. 034",364,002,"Multae tribulationes justorum et de his","Multae tribulationes justorum et de his omnibus liberavit eos Dominus Dominus custodit omnia ossa eorum unum ex his non conteretur","Comm. plurimorum Martyrum",MI,In,,g00227,2,,
"P-BRs Ms. 034",365,001,"Benedicam dominum in omni tempore semper","Benedicam dominum in omni tempore semper laus ejus in ore meo","Comm. plurimorum Martyrum",MI,InV,,g00113a,2,,
"P-BRs Ms. 034",365,002,"Exsultabunt sancti in gloria laetabuntur in","Exsultabunt sancti in gloria laetabuntur in cubilibus suis","Comm. plurimorum Martyrum",MI,Gr,,g00475,2,,
"P-BRs Ms. 034",365,003,"Cantate domino canticum novum laus ejus","Cantate domino canticum novum laus ejus in ecclesia sanctorum","Comm. plurimorum Martyrum",MI,GrV,,g00475a,2,,
"P-BRs Ms. 034",365,004,"Alleluia Fulgebunt justi et tamquam scintillae","Alleluia Fulgebunt justi et tamquam scintillae in arundineto discurrent in aeternum","Comm. plurimorum Martyrum",MI,Al,,g00325,1,,
"P-BRs Ms. 034",366,001,"Qui seminant *","Qui seminant *","Comm. plurimorum Martyrum",MI,Tc,,g01314,*,,
"P-BRs Ms. 034",366,002,"Anima nostra *","Anima nostra *","Comm. plurimorum Martyrum",MI,Of,,g00576,*,,
"P-BRs Ms. 034",366,003,"Justorum animae in manu dei sunt","Justorum animae in manu dei sunt et non tanget illos tormentum malitiae visi sunt oculis insipientium mori illi autem sunt in pace","Comm. plurimorum Martyrum",MI,Cm,,g00209,3,,
"P-BRs Ms. 034",366,004,"Clamaverunt justi et dominus exaudivit eos","Clamaverunt justi et dominus exaudivit eos et ex omnibus tribulationibus eorum liberavit eos","Comm. plurimorum Martyrum",MI,In,,g00113,2,,
"P-BRs Ms. 034",366,005,"Benedicam dominum in omni tempore semper","Benedicam dominum in omni tempore semper laus ejus in ore meo","Comm. plurimorum Martyrum",MI,InV,,g00113a,2,,
"P-BRs Ms. 034",367,001,"Anima nostra sicut passer erepta est","Anima nostra sicut passer erepta est de laqueo venantium","Comm. plurimorum Martyrum",MI,Gr,,g00570,5,,
"P-BRs Ms. 034",367,002,"Laqueus contritus est et nos liberati","Laqueus contritus est et nos liberati sumus adjutorium nostrum in nomine Domini qui fecit caelum et terram","Comm. plurimorum Martyrum",MI,GrV,,g00570a,5,,
"P-BRs Ms. 034",367,003,"Alleluia Laetamini in domino et exsultate","Alleluia Laetamini in domino et exsultate justi et gloriamini omnes recti corde","Comm. plurimorum Martyrum",MI,Al,,g02329,8,,
"P-BRs Ms. 034",368,001,"Fulgebunt justi et tamquam scintillae in","Fulgebunt justi et tamquam scintillae in arundineto discurrent judicabunt gentes et regnabunt in aeternum alleluia","Comm. plurimorum Martyrum",MI,Of,,g02349,8,,
"P-BRs Ms. 034",368,002,"Dico autem vobis amicis meis ne","Dico autem vobis amicis meis ne terreamini ab his qui vos persequuntur","Comm. plurimorum Martyrum",MI,Cm,,g01324,8,,
"P-BRs Ms. 034",368,003,"Intret in conspectu*","Intret in conspectu*","Comm. plurimorum Martyrum",MI,In,,g01310,*,,
"P-BRs Ms. 034",368,004,"Vindica domine *","Vindica domine *","Comm. plurimorum Martyrum",MI,Gr,,g00470,*,,
"P-BRs Ms. 034",368,005,"Alleluia Sancti tui *","Alleluia Sancti tui *","Comm. plurimorum Martyrum",MI,Al,,g00041,*,,
"P-BRs Ms. 034",368,006,"Qui seminant *","Qui seminant *","Comm. plurimorum Martyrum",MI,Tc,,g01314,*,,
"P-BRs Ms. 034",368,007,"Gloriabuntur in te omnes qui diligunt","Gloriabuntur in te omnes qui diligunt nomen tuum quoniam tu domine benedices justo domine ut scuto bonae voluntatis tuae coronasti nos","Comm. plurimorum Martyrum",MI,Of,,g00244,6,,
"P-BRs Ms. 034",369,001,"Quicumque fecerit voluntatem patris mei *","Quicumque fecerit voluntatem patris mei *","Comm. plurimorum Martyrum",MI,Cm,,g00117,*,,
"P-BRs Ms. 034",369,002,"Justi epulentur et exsultent in conspectu","Justi epulentur et exsultent in conspectu Dei delectentur in laetitia","Comm. plurimorum Martyrum",MI,In,,g00037,6,,
"P-BRs Ms. 034",369,003,"Exsurgat deus et dissipentur inimici ejus","Exsurgat deus et dissipentur inimici ejus et fugiant qui oderunt eum a facie ejus","Comm. plurimorum Martyrum",MI,InV,,g00037a,6,,
"P-BRs Ms. 034",369,004,"Justorum animae in manu dei sunt","Justorum animae in manu dei sunt et non tanget illos tormentum malitiae","Comm. plurimorum Martyrum",MI,Gr,,g00038,5,,
