Source,Folio,Seq,Incipit,Text,Feast,Occasion,Genre,Position,"Cantus ID",Mode,Diff,"Diff db"
"P-BRs Ms. 034",001,001,"Ad te levavi animam meam deus","Ad te levavi animam meam deus meus in te confido non erubescam neque irrideant me inimici mei etenim universi qui te exspectant non confundentur.","Adventus, dom. 1",MI,In,,g00489,8,,
"P-BRs Ms. 034",001,002,"Vias tuas domine demonstra mihi et","Vias tuas domine demonstra mihi et semitas tuas edoce me","Adventus, dom. 1",MI,InV,,g00489a,8,,
"P-BRs Ms. 034",001,003,"Universi qui te exspectant non confundentur","Universi qui te exspectant non confundentur domine","Adventus, dom. 1",MI,Gr,,g00490,1,,
"P-BRs Ms. 034",001,004,"Vias tuas domine notas fac mihi","Vias tuas domine notas fac mihi et semitas tuas edoce me","Adventus, dom. 1",MI,GrV,,g00490a,1,,
"P-BRs Ms. 034",002,001,"Alleluia Ostende nobis domine misericordiam tuam","Alleluia Ostende nobis domine misericordiam tuam et salutare tuum da nobis","Adventus, dom. 1",MI,Al,,507038,8,,
"P-BRs Ms. 034",002,002,"Alleluia Ecce virgo concipiet et pariet","Alleluia Ecce virgo concipiet et pariet filium Jesum Christum","Adventus, dom. 1",MI,Al,,g02153,2,,
"P-BRs Ms. 034",003,001,"Ad te domine levavi animam meam","Ad te domine levavi animam meam deus meus in te confido non erubescam neque irrideant me inimici mei etenim universi qui te exspectant non confundentur","Adventus, dom. 1",MI,Of,,g00493,2,,
"P-BRs Ms. 034",003,002,"Dominus dabit benignitatem et terra nostra","Dominus dabit benignitatem et terra nostra dabit fructum suum","Adventus, dom. 1",MI,Cm,,g00494,1,,
"P-BRs Ms. 034",003,003,"Populus Sion ecce dominus veniet ad","Populus Sion ecce dominus veniet ad salvandas gentes et auditam faciet dominus gloriam vocis suae in laetitia cordis vestri","Adventus, dom. 2",MI,In,,g00495,7,,
"P-BRs Ms. 034",004,001,"Qui regis Israel intende qui deducis","Qui regis Israel intende qui deducis velut ovem Joseph","Adventus, dom. 2",MI,InV,,g00495a,7,,
"P-BRs Ms. 034",004,002,"Ex Sion species decoris ejus deus","Ex Sion species decoris ejus deus manifeste veniet","Adventus, dom. 2",MI,Gr,,g00496,5,,
"P-BRs Ms. 034",004,003,"Congregate illi sanctos ejus qui ordinaverunt","Congregate illi sanctos ejus qui ordinaverunt testamentum ejus super sacrificia","Adventus, dom. 2",MI,GrV,,g00496a,5,,
"P-BRs Ms. 034",004,004,"Alleluia Laetatus sum in his quae","Alleluia Laetatus sum in his quae dicta sunt mihi in domum Domini ibimus","Adventus, dom. 2",MI,Al,,g00498,1,,
"P-BRs Ms. 034",005,001,"Alleluia Virtutes caeli movebuntur et tunc","Alleluia Virtutes caeli movebuntur et tunc videbunt filium hominis venientem de caelo in nubibus cum potestate magna et majestate","Adventus, dom. 2",MI,Al,,g02155,7,,
"P-BRs Ms. 034",005,002,"Deus tu convertens vivificabis nos et","Deus tu convertens vivificabis nos et plebs tua laetabitur in te ostende nobis Domine misericordiam tuam et salutare tuum da nobis","Adventus, dom. 2",MI,Of,,g00499,3,,
"P-BRs Ms. 034",006,001,"Jerusalem surge et sta in excelso","Jerusalem surge et sta in excelso et vide jucunditatem quae veniet tibi a Deo tuo","Adventus, dom. 2",MI,Cm,,g00500,2,,
"P-BRs Ms. 034",006,002,"Gaudete in domino semper iterum dico","Gaudete in domino semper iterum dico gaudete modestia vestra nota sit omnibus hominibus dominus prope est nihil solliciti sitis sed in omni oratione petitiones vestrae innotescant apud deum","Adventus, dom. 3",MI,In,,g00501,1,,
"P-BRs Ms. 034",007,001,"Et pax dei quae exsuperat omnem","Et pax dei quae exsuperat omnem sensum custodiat corda vestra et intelligentias vestras","Adventus, dom. 3",MI,InV,,g00501a,1,,
"P-BRs Ms. 034",007,002,"Qui sedes Domine super Cherubim excita","Qui sedes Domine super Cherubim excita potentiam tuam et veni","Adventus, dom. 3",MI,Gr,,g00502,7,,
"P-BRs Ms. 034",007,003,"Qui regis Israel intende qui deducis","Qui regis Israel intende qui deducis velut ovem Joseph","Adventus, dom. 3",MI,GrV,,g00502a,7,,
"P-BRs Ms. 034",007,004,"Alleluia Excita Domine potentiam tuam et","Alleluia Excita Domine potentiam tuam et veni ut salvos facias nos","Adventus, dom. 3",MI,Al,,g00504,4,,
"P-BRs Ms. 034",008,001,"Benedixisti Domine terram tuam avertisti captivitatem","Benedixisti Domine terram tuam avertisti captivitatem Jacob remisisti iniquitatem plebis tuae","Adventus, dom. 3",MI,Of,,g00505,4,,
"P-BRs Ms. 034",008,002,"Dicite pusillanimes confortamini et nolite timere","Dicite pusillanimes confortamini et nolite timere ecce Deus noster veniet et salvabit nos","Adventus, dom. 3",MI,Cm,,g00506,7,,
"P-BRs Ms. 034",009,001,"Memento nostri Domine in beneplacito populi","Memento nostri Domine in beneplacito populi tui visita nos in salutari tuo ad videndum in bonitate electorum tuorum  in laetitia gentis tuae ut lauderis cum haereditate tua","Adventus, dom. 4",MI,In,,g02156,1,,
"P-BRs Ms. 034",009,002,"Peccavimus cum patribus nostris injuste egimus","Peccavimus cum patribus nostris injuste egimus iniquitatem fecimus Gloria Patri et Filio et Spiritui Sancti sicut erat in principio et nunc et semper et insaecula saeculorum amen","Adventus, dom. 4",MI,InV,,g02156a,1,,
"P-BRs Ms. 034",010,001,"Tollite portas *","Tollite portas *","Adventus, dom. 4",MI,Gr,,g02220,*,,
"P-BRs Ms. 034",010,002,"Alleluia Veni Domine et noli tardare","Alleluia Veni Domine et noli tardare relaxa facinora plebis tuae","Adventus, dom. 4",MI,Al,,g00532,3,,
"P-BRs Ms. 034",011,001,"Alleluia Memento nostri Domine in beneplacito","Alleluia Memento nostri Domine in beneplacito populi tui visita nos in salutari tuo","Adventus, dom. 4",MI,Al,,g02158,3,,
"P-BRs Ms. 034",011,002,"Ave Maria gratia plena Dominus tecum","Ave Maria gratia plena Dominus tecum benedicta tu in mulieribus et benedictus fructus ventris tui","Adventus, dom. 4",MI,Of,,g00533,8,,
"P-BRs Ms. 034",012,001,"Ecce Virgo concipiet et pariet Filium","Ecce Virgo concipiet et pariet Filium et vocabitur nomen ejus Emmanuel","Adventus, dom. 4",MI,Cm,,503007,1,,
"P-BRs Ms. 034",012,002,"Puer natus est nobis et filius","Puer natus est nobis et filius datus est nobis cujus imperium super humerum ejus et vocabitur nomen ejus magni consilii Angelus","Nativitas Domini",MI,In,,g00553,7,,
"P-BRs Ms. 034",012,003,"Cantate Domino canticum novum quia mirabilia","Cantate Domino canticum novum quia mirabilia fecit","Nativitas Domini",MI,InV,,g00553a.1,7,,
"P-BRs Ms. 034",012,004,"Viderunt omnes fines terrae salutare Dei","Viderunt omnes fines terrae salutare Dei nostri jubilate Deo omnis terra","Nativitas Domini",MI,Gr,,g00554,5,,
"P-BRs Ms. 034",013,001,"Notum fecit Dominus salutare suum ante","Notum fecit Dominus salutare suum ante conspectum gentium revelavit justitiam suam","Nativitas Domini",MI,GrV,,g00554a,5,,
"P-BRs Ms. 034",013,002,"Alleluia Dies sanctificatus illuxit nobis venite","Alleluia Dies sanctificatus illuxit nobis venite gentes adorate Dominum quia hodie descendit lux magna super terram","Nativitas Domini",MI,Al,,g00556,2,,
"P-BRs Ms. 034",014,001,"Alleluia Multifarie olim deus loquens in","Alleluia Multifarie olim deus loquens in prophetis novissime diebus istis locutus est nobis in filio suo","Nativitas Domini",MI,Al,,g00585,7,,
"P-BRs Ms. 034",014,002,"Tui sunt caeli et tua est","Tui sunt caeli et tua est terra orbem terrarum et plenitudinem ejus tu fundasti justitia et judicium praeparatio sedis tuae","Nativitas Domini",MI,Of,,g00557,4,,
"P-BRs Ms. 034",015,001,"Viderunt omnes fines terrae salutare Dei","Viderunt omnes fines terrae salutare Dei nostri","Nativitas Domini",MI,Cm,,g00558,1,,
"P-BRs Ms. 034",015,002,"Dum medium silentium tenerent omnia et","Dum medium silentium tenerent omnia et nox in suo cursu medium iter haberet omnipotens sermo tuus Domine de caelis a regalibus sedibus venit","Dom. p. Nat. Dom.",MI,In,,g00578,8,,
"P-BRs Ms. 034",015,003,"Dominus regnavit decorem indutus est dominus","Dominus regnavit decorem indutus est dominus fortitudinem et praecinxit se","Dom. p. Nat. Dom.",MI,InV,,g00578a.1,8,,
"P-BRs Ms. 034",016,001,"Speciosus forma prae filiis hominum diffusa","Speciosus forma prae filiis hominum diffusa est gratia in labiis tuis","Dom. p. Nat. Dom.",MI,Gr,,g00579,3,,
"P-BRs Ms. 034",016,002,"Eructavit cor meum verbum bonum dico","Eructavit cor meum verbum bonum dico ego opera mea Regi lingua mea calamus scribae velociter scribentis","Dom. p. Nat. Dom.",MI,GrV,,g00579a,3,,
"P-BRs Ms. 034",016,003,"Alleluia Tolle puerum et matrem ejus","Alleluia Tolle puerum et matrem ejus et vade in terram Judae","Dom. p. Nat. Dom.",,Al,,g02159,7,,
"P-BRs Ms. 034",017,001,"Deus enim firmavit orbem terrae qui","Deus enim firmavit orbem terrae qui non commovebitur parata sedes tua Deus ex tunc a saeculo tu es","Dom. p. Nat. Dom.",,Of,,g00551,8,,
"P-BRs Ms. 034",017,002,"Tolle puerum et matrem ejus et","Tolle puerum et matrem ejus et vade in terram Judae defuncti sunt enim qui quaerebant animam pueri","Dom. p. Nat. Dom.",MI,Cm,,g00581.1,7,,
"P-BRs Ms. 034",018,001,"Ecce advenit dominator dominus et regnum","Ecce advenit dominator dominus et regnum in manu ejus et potestas et imperium",Epiphania,MI,In,,g00596,2,,
"P-BRs Ms. 034",018,002,"Deus judicium tuum regi da et","Deus judicium tuum regi da et justitiam tuam filio regis",Epiphania,MI,InV,,g00596a.1,2,,
"P-BRs Ms. 034",018,003,"Omnes de Saba venient aurum et","Omnes de Saba venient aurum et thus deferentes et laudem Domino annuntiantes",Epiphania,MI,Gr,,g00597,5,,
"P-BRs Ms. 034",018,004,"Surge et illuminare Jerusalem quia gloria","Surge et illuminare Jerusalem quia gloria Domini super te orta est",Epiphania,MI,GrV,,g00597a,5,,
"P-BRs Ms. 034",019,001,"Alleluia Vidimus stellam ejus in Oriente","Alleluia Vidimus stellam ejus in Oriente et venimus cum muneribus adorare Dominum",Epiphania,MI,Al,,g00599,2,,
"P-BRs Ms. 034",019,002,"Alleluia Interrogabat magos Herodes quod signum","Alleluia Interrogabat magos Herodes quod signum vidistis super natum regem stellam vidimus fulgentem cujus splendor illuminat mundum.",Epiphania,MI,Al,,g02162,2,,
"P-BRs Ms. 034",020,001,"Reges Tharsis et insulae munera offerent","Reges Tharsis et insulae munera offerent reges Arabum et Saba dona adducent et adorabunt eum omnes reges terrae omnes gentes servient ei",Epiphania,MI,Of,,g00600,5,,
"P-BRs Ms. 034",020,002,"Vidimus stellam ejus in Oriente et","Vidimus stellam ejus in Oriente et venimus cum muneribus adorare Dominum",Epiphania,MI,Cm,,g00601,4,,
"P-BRs Ms. 034",020,003,"In excelso throno vidi sedere virum","In excelso throno vidi sedere virum quem adorant multitudo angelorum psallentes in unum ecce cujus imperium permanet in aeternum","Dom. 1 p. Epiph.",MI,In,,g00613.1,8,,
"P-BRs Ms. 034",021,001,"Jubilate deo omnis terra servite domino","Jubilate deo omnis terra servite domino in laetitia","Dom. 1 p. Epiph.",MI,InV,,g00613b,8,,
"P-BRs Ms. 034",021,002,"Benedictus dominus deus Israel qui facit","Benedictus dominus deus Israel qui facit mirabilia magna solus a saeculo","Dom. 1 p. Epiph.",MI,Gr,,g00614,7,,
"P-BRs Ms. 034",021,003,"Suscipiant montes pacem populo tuo et","Suscipiant montes pacem populo tuo et colles justitiam","Dom. 1 p. Epiph.",MI,GrV,,g00614a,7,,
"P-BRs Ms. 034",022,001,"Alleluia Jubilate deo omnis terra servite","Alleluia Jubilate deo omnis terra servite domino in laetitia","Dom. 1 p. Epiph.",MI,Al,,g00616,3,,
"P-BRs Ms. 034",022,002,"Alleluia Nuptiae factae sunt in Cana","Alleluia Nuptiae factae sunt in Cana Galilaeae et erat Jesus cum Maria matre ejus","Dom. 1 p. Epiph.",MI,Al,,g02161,2,,
"P-BRs Ms. 034",023,001,"Jubilate deo omnis terra jubilate deo","Jubilate deo omnis terra jubilate deo omnis terra servite domino in laetitia intrate in conspectu ejus in exsultatione quia dominus ipse est deus","Dom. 1 p. Epiph.",MI,Of,,g00617,5,,
"P-BRs Ms. 034",023,002,"Fili quid fecisti nobis sic ego","Fili quid fecisti nobis sic ego et pater tuus dolentes quaerebamus te et quid est quod me quaerebatis nesciebatis quia in his quae patris mei sunt oportet me esse","Dom. 1 p. Epiph.",MI,Cm,,g00618,1,,
"P-BRs Ms. 034",024,001,"Omnis terra adoret te deus et","Omnis terra adoret te deus et psallat tibi psalmum dicat nomini tuo altissime","Dom. 2 p. Epiph.",MI,In,,g00619,4,,
"P-BRs Ms. 034",024,002,"Jubilate deo omnis terra psalmum dicite","Jubilate deo omnis terra psalmum dicite nomini ejus date gloriam laudi ejus","Dom. 2 p. Epiph.",MI,InV,,g00619a,4,,
"P-BRs Ms. 034",024,003,"Misit Dominus verbum suum et sanavit","Misit Dominus verbum suum et sanavit eos et eripuit eos de interitu eorum","Dom. 2 p. Epiph.",MI,Gr,,g00620,5,,
"P-BRs Ms. 034",025,001,"Confiteantur Domino misericordiae ejus et mirabilia","Confiteantur Domino misericordiae ejus et mirabilia ejus filiis hominum","Dom. 2 p. Epiph.",MI,GrV,,g00027a,5,,
"P-BRs Ms. 034",025,002,"Alleluia Laudate deum omnes angeli ejus","Alleluia Laudate deum omnes angeli ejus laudate eum omnes virtutes ejus","Dom. 2 p. Epiph.",MI,Al,,g00622,4,,
"P-BRs Ms. 034",026,001,"Alleluia  Omnis terra adoret te Deus","Alleluia  Omnis terra adoret te Deus et psallat tibi psalmum dicat nomini tuo Domine.","Dom. 2 p. Epiph.",MI,Al,,g02163,4,,
"P-BRs Ms. 034",026,002,"Jubilate deo universa terra jubilate deo","Jubilate deo universa terra jubilate deo universa terra psalmum dicite nomini ejus venite et audite et narrabo vobis omnes qui timetis deum quanta fecit dominus animae meae alleluia","Dom. 2 p. Epiph.",MI,Of,,g00623,1,,
"P-BRs Ms. 034",027,001,"Dicit dominus implete hydrias aqua et","Dicit dominus implete hydrias aqua et ferte architriclino cum gustasset architriclinus aquam vinum factam dicit sponso servasti vinum bonum usque adhuc hoc signum fecit Jesus primum coram discipulis suis","Dom. 2 p. Epiph.",MI,Cm,,g00624,6,,
"P-BRs Ms. 034",027,002,"Adorate deum omnes angeli ejus audivit","Adorate deum omnes angeli ejus audivit et laetata est Sion et exsultaverunt filiae Judae","Dom. 3 p. Epiph.",MI,In,,g00625,7,,
"P-BRs Ms. 034",028,001,"Dominus regnavit exsultet terra laetentur insulae","Dominus regnavit exsultet terra laetentur insulae multae","Dom. 3 p. Epiph.",MI,InV,,g00625a,7,,
"P-BRs Ms. 034",028,002,"Timebunt gentes nomen tuum Domine et","Timebunt gentes nomen tuum Domine et omnes reges terrae gloriam tuam","Dom. 3 p. Epiph.",MI,Gr,,g00626,5,,
"P-BRs Ms. 034",028,003,"Quoniam aedificavit dominus Sion et videbitur","Quoniam aedificavit dominus Sion et videbitur in majestate sua","Dom. 3 p. Epiph.",MI,GrV,,g00626b,5,,
"P-BRs Ms. 034",028,004,"Alleluia Dextera Dei fecit virtutem dextera","Alleluia Dextera Dei fecit virtutem dextera Domini exaltavit me","Dom. 3 p. Epiph.",MI,Al,,g01064,4,,
"P-BRs Ms. 034",029,001,"Dextera domini fecit virtutem dextera domini","Dextera domini fecit virtutem dextera domini exaltavit me non moriar sed vivam et narrabo opera domini","Dom. 3 p. Epiph.",MI,Of,,g00629,2,,
"P-BRs Ms. 034",029,002,"Mirabantur omnes de his quae procedebant","Mirabantur omnes de his quae procedebant de ore Dei","Dom. 3 p. Epiph.",MI,Cm,,g00630,7,,
"P-BRs Ms. 034",029,003,"Adorate Deum omnes *","Adorate Deum omnes *","Dom. 4 p. Epiph.",MI,In,,g00625,*,,
"P-BRs Ms. 034",029,004,"Adorate Deum *","Adorate Deum *","Dom. 5 p. Epiph.",MI,In,,g00625,*,,
"P-BRs Ms. 034",029,005,"Circumdederunt me gemitus mortis dolores inferni","Circumdederunt me gemitus mortis dolores inferni circumdederunt me et in tribulatione mea invocavi dominum et exaudivit de templo sancto suo vocem meam","Septuagesimae, dom.",MI,In,,g00631,5,,
"P-BRs Ms. 034",030,001,"Diligam te domine fortitudo mea dominus","Diligam te domine fortitudo mea dominus firmamentum meum et refugium meum et liberator meus","Septuagesimae, dom.",MI,InV,,g00631a,5,,
"P-BRs Ms. 034",030,002,"Adjutor in opportunitatibus in tribulatione sperent","Adjutor in opportunitatibus in tribulatione sperent in te qui noverunt te quoniam non derelinquis quaerentes te domine","Septuagesimae, dom.",MI,Gr,,g00632,3,,
"P-BRs Ms. 034",031,001,"Quoniam non in finem oblivio erit","Quoniam non in finem oblivio erit pauperis patientia pauperum non peribit in aeternum exsurge domine non praevaleat homo","Septuagesimae, dom.",MI,GrV,,g00632a,3,,
"P-BRs Ms. 034",031,002,"De profundis clamavi ad te domine","De profundis clamavi ad te domine domine exaudi vocem meam","Septuagesimae, dom.",MI,Tc,,g00634,8,,
"P-BRs Ms. 034",031,003,"Fiant aures tuae intendentes in orationem","Fiant aures tuae intendentes in orationem servi tui","Septuagesimae, dom.",MI,TcV,,g00634a,8,,
"P-BRs Ms. 034",032,001,"Si iniquitates observaveris domine domine quis","Si iniquitates observaveris domine domine quis sustinebit","Septuagesimae, dom.",MI,TcV,,g00634b,8,,
"P-BRs Ms. 034",032,002,"Quia apud te propitiatio est et","Quia apud te propitiatio est et propter legem tuam sustinui te domine","Septuagesimae, dom.",MI,TcV,,g00634c,8,,
"P-BRs Ms. 034",032,003,"Bonum est confiteri domino et psallere","Bonum est confiteri domino et psallere nomini tuo altissime","Septuagesimae, dom.",MI,Of,,g00638,8,,
"P-BRs Ms. 034",032,004,"Illumina faciem tuam super servum tuum","Illumina faciem tuam super servum tuum et salvum me fac in tua misericordia domine non confundar quoniam invocavi te","Septuagesimae, dom.",MI,Cm,,g00639,1,,
"P-BRs Ms. 034",033,001,"Exsurge quare obdormis domine exsurge et","Exsurge quare obdormis domine exsurge et ne repellas in finem quare faciem tuam avertis oblivisceris tribulationem nostram adhaesit in terra venter noster exsurge domine adjuva nos et libera nos","Sexagesimae, dom.",MI,In,,g00640,1,,
"P-BRs Ms. 034",033,002,"Deus auribus nostris audivimus patres nostri","Deus auribus nostris audivimus patres nostri annuntiaverunt nobis","Sexagesimae, dom.",MI,InV,,g00640a.1,1,,
"P-BRs Ms. 034",033,003,"Sciant gentes quoniam nomen tibi deus","Sciant gentes quoniam nomen tibi deus tu solus altissimus super omnem terram","Sexagesimae, dom.",MI,Gr,,g00641,1,,
"P-BRs Ms. 034",034,001,"Deus meus pone illos ut rotam","Deus meus pone illos ut rotam et sicut stipulam ante faciem venti","Sexagesimae, dom.",MI,GrV,,g00641a,1,,
"P-BRs Ms. 034",034,002,"Commovisti domine terram et conturbasti eam","Commovisti domine terram et conturbasti eam","Sexagesimae, dom.",MI,Tc,,g00643,8,,
"P-BRs Ms. 034",034,003,"Sana contritiones ejus quia mota est","Sana contritiones ejus quia mota est","Sexagesimae, dom.",MI,TcV,,g00643a,8,,
"P-BRs Ms. 034",035,001,"Ut fugiant a facie arcus ut","Ut fugiant a facie arcus ut liberentur electi tui","Sexagesimae, dom.",MI,TcV,,g00643b,8,,
"P-BRs Ms. 034",035,002,"Perfice gressus meos in semitis tuis","Perfice gressus meos in semitis tuis ut non moveantur vestigia mea inclina aurem tuam et exaudi verba mea mirifica misericordias tuas qui salvos facis sperantes in te domine","Sexagesimae, dom.",MI,Of,,g00646,4,,
"P-BRs Ms. 034",035,003,"Introibo ad altare dei ad deum","Introibo ad altare dei ad deum qui laetificat juventutem meam","Sexagesimae, dom.",MI,Cm,,g00647,8,,
"P-BRs Ms. 034",036,001,"Esto mihi in deum protectorem et","Esto mihi in deum protectorem et in locum refugii ut salvum me facias quoniam firmamentum meum et refugium meum es tu et propter nomen tuum dux mihi eris et enutries me","Quinquagesimae, dom.",MI,In,,g00648,6,,
"P-BRs Ms. 034",036,002,"In te domine speravi non confundar","In te domine speravi non confundar in aeternum in justitia tua libera me et eripe me","Quinquagesimae, dom.",MI,InV,,g00648a.1,6,,
"P-BRs Ms. 034",036,003,"Tu es deus qui facis mirabilia","Tu es deus qui facis mirabilia solus notam fecisti in gentibus virtutem tuam","Quinquagesimae, dom.",MI,Gr,,g00649,3,,
"P-BRs Ms. 034",037,001,"Liberasti in brachio tuo populum tuum","Liberasti in brachio tuo populum tuum filios Israel et Joseph","Quinquagesimae, dom.",MI,GrV,,g00649a,3,,
"P-BRs Ms. 034",037,002,"Jubilate domino omnis terra servite domino","Jubilate domino omnis terra servite domino in laetitia","Quinquagesimae, dom.",MI,Tc,,g00651,8,,
"P-BRs Ms. 034",037,003,"Intrate in conspectu ejus in exsultatione","Intrate in conspectu ejus in exsultatione","Quinquagesimae, dom.",MI,TcV,,g00651a,8,,
"P-BRs Ms. 034",037,004,"Scitote quod Dominus ipse est Deus","Scitote quod Dominus ipse est Deus","Quinquagesimae, dom.",MI,TcV,,g00651b,8,,
"P-BRs Ms. 034",038,001,"Ipse fecit nos et non ipsi","Ipse fecit nos et non ipsi nos nos autem populus ejus et oves pascuae ejus","Quinquagesimae, dom.",MI,TcV,,g00651c,8,,
"P-BRs Ms. 034",038,002,"Benedictus es domine doce me justificationes","Benedictus es domine doce me justificationes tuas benedictus es domine doce me justificationes tuas in labiis meis pronuntiavi omnia judicia oris tui","Quinquagesimae, dom.",MI,Of,,g00655,3,,
"P-BRs Ms. 034",039,001,"Manducaverunt et saturati sunt nimis et","Manducaverunt et saturati sunt nimis et desiderium eorum attulit eis dominus non sunt fraudati a desiderio suo","Quinquagesimae, dom.",MI,Cm,,g00656,1,,
"P-BRs Ms. 034",039,002,"Invocabit me et ego exaudiam eum","Invocabit me et ego exaudiam eum eripiam eum et glorificabo eum longitudine dierum adimplebo eum","Quadragesimae, dom. 1",MI,In,,g00675,8,,
"P-BRs Ms. 034",039,003,"Qui habitat in adjutorio altissimi in","Qui habitat in adjutorio altissimi in protectione dei caeli commorabitur","Quadragesimae, dom. 1",MI,InV,,g00675a,8,,
"P-BRs Ms. 034",040,001,"Angelis suis mandavit de te ut","Angelis suis mandavit de te ut custodiant te in omnibus viis tuis","Quadragesimae, dom. 1",MI,Gr,,g00676,2,,
"P-BRs Ms. 034",040,002,"In manibus portabunt te ne unquam","In manibus portabunt te ne unquam offendas ad lapidem pedem tuum","Quadragesimae, dom. 1",MI,GrV,,g00676a,2,,
"P-BRs Ms. 034",040,003,"Qui habitat in adjutorio altissimi in","Qui habitat in adjutorio altissimi in protectione dei caeli commorabitur","Quadragesimae, dom. 1",MI,Tc,,g00678,2,,
"P-BRs Ms. 034",041,001,"Dicet domino susceptor meus es et","Dicet domino susceptor meus es et refugium meum deus meus sperabo in eum","Quadragesimae, dom. 1",MI,TcV,,g00678a,2,,
"P-BRs Ms. 034",041,002,"Quoniam ipse liberavit me de laqueo","Quoniam ipse liberavit me de laqueo venantium et a verbo aspero","Quadragesimae, dom. 1",MI,TcV,,g00678b,2,,
"P-BRs Ms. 034",041,003,"Scapulis suis obumbrabit tibi et sub","Scapulis suis obumbrabit tibi et sub pennis ejus sperabis","Quadragesimae, dom. 1",MI,TcV,,g00678c,2,,
"P-BRs Ms. 034",041,004,"Scuto circumdabit te veritas ejus non","Scuto circumdabit te veritas ejus non timebis a timore nocturno","Quadragesimae, dom. 1",MI,TcV,,g00678d,2,,
"P-BRs Ms. 034",042,001,"A sagitta volante per diem a","A sagitta volante per diem a negotio perambulante in tenebris a ruina et daemonio meridiano","Quadragesimae, dom. 1",MI,TcV,,g00678e,2,,
"P-BRs Ms. 034",042,002,"Scapulis suis obumbrabit tibi dominus et","Scapulis suis obumbrabit tibi dominus et sub pennis ejus sperabis scuto circumdabit te veritas ejus","Quadragesimae, dom. 1",MI,Of,,g00691,8,,
"P-BRs Ms. 034",042,003,"Scapulis suis obumbrabit tibi et sub","Scapulis suis obumbrabit tibi et sub pennis ejus sperabis scuto circumdabit te veritas ejus","Quadragesimae, dom. 1",MI,Cm,,g00692,3,,
"P-BRs Ms. 034",043,001,"Domine dilexi decorem domus tuae et","Domine dilexi decorem domus tuae et locum habitationis gloriae tuae ut circumdem altare tuum et audiam vocem laudis ut enarrem universa mirabilia tua","Quadragesimae, dom. 2",MI,In,,g02160,8,,
"P-BRs Ms. 034",043,002,"Judica me Domine quoniam ego in","Judica me Domine quoniam ego in innocentia mea ingressus sum et in Domino sperans non infirmabor","Quadragesimae, dom. 2",MI,InV,,g00728a,8,,
"P-BRs Ms. 034",043,003,"Proba me Domine et tenta me","Proba me Domine et tenta me ure renes meos et cor meum quia misericordia tua ante oculos meos est et complacui in veritate tua","Quadragesimae, dom. 2",MI,Gr,,g02164,4,,
"P-BRs Ms. 034",044,001,"Ego autem in innocentia mea ingressus","Ego autem in innocentia mea ingressus sum redime me et miserere mei pes meus stetit in via recta in ecclesiis benedicam te Domine","Quadragesimae, dom. 2",MI,GrV,,g02164a,4,,
"P-BRs Ms. 034",045,001,"Dixit Dominus mulieri chananaeae non est","Dixit Dominus mulieri chananaeae non est bonum sumere panem filiorum et mittere canibus ad manducandum","Quadragesimae, dom. 2",MI,Tc,,g02166,2,,
"P-BRs Ms. 034",045,002,"At illa dixit etiam Domine nam","At illa dixit etiam Domine nam et catelli edunt de micis quae cadunt de mensa dominorum suorum","Quadragesimae, dom. 2",MI,TcV,,g02166a,2,,
"P-BRs Ms. 034",045,003,"Ait illi Jesus o mulier magna","Ait illi Jesus o mulier magna est fides tua fiat tibi sicut petisti","Quadragesimae, dom. 2",MI,TcV,,g02166b,2,,
"P-BRs Ms. 034",046,001,"Lavabo inter innocentes manus meas et","Lavabo inter innocentes manus meas et circuibo altare tuum Domine","Quadragesimae, dom. 2",MI,Of,,g02169,3,,
"P-BRs Ms. 034",046,002,"Pes enim meus stetit in via","Pes enim meus stetit in via recta in ecclesiis benedicam Dominum","Quadragesimae, dom. 2",MI,Cm,,g02170,6,,
"P-BRs Ms. 034",046,003,"Oculi mei semper ad dominum quia","Oculi mei semper ad dominum quia ipse evellet de laqueo pedes meos respice in me et miserere mei quoniam unicus et pauper sum ego","Quadragesimae, dom. 3",MI,In,,g00744,7,,
"P-BRs Ms. 034",047,001,"Ad te domine levavi animam meam","Ad te domine levavi animam meam deus meus in te confido non erubescam","Quadragesimae, dom. 3",MI,InV,,g00744a.1,7,,
"P-BRs Ms. 034",047,002,"Exsurge domine non praevaleat homo judicentur","Exsurge domine non praevaleat homo judicentur gentes in conspectu tuo","Quadragesimae, dom. 3",MI,Gr,,g00745,3,,
"P-BRs Ms. 034",047,003,"In convertendo inimicum meum retrorsum infirmabuntur","In convertendo inimicum meum retrorsum infirmabuntur et pereant a facie tua","Quadragesimae, dom. 3",MI,GrV,,g00745a,3,,
"P-BRs Ms. 034",048,001,"Ad te levavi oculos meos qui","Ad te levavi oculos meos qui habitas in caelis","Quadragesimae, dom. 3",MI,Tc,,g00747,8,,
"P-BRs Ms. 034",048,002,"Ecce sicut oculi servorum in manibus","Ecce sicut oculi servorum in manibus dominorum suorum","Quadragesimae, dom. 3",MI,TcV,,g00747a,8,,
"P-BRs Ms. 034",048,003,"Et sicut oculi ancillae in manibus","Et sicut oculi ancillae in manibus dominae suae","Quadragesimae, dom. 3",MI,TcV,,g00747b,8,,
"P-BRs Ms. 034",048,004,"Ita oculi nostri ad dominum deum","Ita oculi nostri ad dominum deum nostrum donec misereatur nostri","Quadragesimae, dom. 3",MI,TcV,,g00747c,8,,
